Stat_Id,player_id,match_id,goals_scored,minutes_played,fraction_of_total_minutes_played,fraction_of_total_goals_scored
184,1,12,0,45,0.5,0.0
185,0,12,0,89,0.99,0.0
186,20,12,0,66,0.73,0.0
187,161,12,0,71,0.79,0.0
188,121,12,1,58,0.64,0.08
189,101,12,1,72,0.8,0.08
190,141,12,1,74,0.82,0.08
191,181,12,1,69,0.77,0.08
192,201,12,0,61,0.68,0.0
193,120,12,0,84,0.93,0.0
194,200,12,0,62,0.69,0.0
195,61,12,1,68,0.76,0.08
196,60,12,0,64,0.71,0.0
197,100,12,0,77,0.86,0.0
198,153,914,0,62,0.69,0.0
199,133,914,0,53,0.59,0.0
200,48,914,0,69,0.77,0.0
201,33,914,0,73,0.81,0.0
202,93,914,0,84,0.93,0.0
203,128,914,0,50,0.56,0.0
204,8,914,2,51,0.57,0.11
205,113,914,2,52,0.58,0.11
206,73,914,2,64,0.71,0.11
207,168,914,2,89,0.99,0.11
208,213,914,0,68,0.76,0.0
209,88,914,0,90,1.0,0.0
210,208,914,3,74,0.82,0.16
211,148,914,2,76,0.84,0.11
212,108,914,1,69,0.77,0.05
213,188,914,0,90,1.0,0.0
214,13,914,1,62,0.69,0.05
215,193,914,3,87,0.97,0.16
216,173,914,0,87,0.97,0.0
217,53,914,1,48,0.53,0.05
218,68,914,0,85,0.94,0.0
219,28,914,0,90,1.0,0.0
220,114,1215,0,45,0.5,0.0
221,154,1215,0,47,0.52,0.0
222,91,1215,1,65,0.72,0.05
223,131,1215,0,63,0.7,0.0
224,11,1215,3,47,0.52,0.15
225,151,1215,0,52,0.58,0.0
226,111,1215,2,64,0.71,0.1
227,94,1215,0,46,0.51,0.0
228,14,1215,0,77,0.86,0.0
229,174,1215,1,71,0.79,0.05
230,34,1215,1,79,0.88,0.05
231,51,1215,1,58,0.64,0.05
232,134,1215,2,50,0.56,0.1
233,214,1215,1,51,0.57,0.05
234,194,1215,1,57,0.63,0.05
235,191,1215,2,90,1.0,0.1
236,171,1215,0,82,0.91,0.0
237,54,1215,0,54,0.6,0.0
238,74,1215,0,62,0.69,0.0
239,211,1215,2,86,0.96,0.1
240,31,1215,0,59,0.66,0.0
241,71,1215,3,58,0.64,0.15
242,137,718,1,88,0.98,0.08
243,177,718,2,80,0.89,0.15
244,206,718,0,84,0.93,0.0
245,37,718,0,62,0.69,0.0
246,66,718,0,71,0.79,0.0
247,157,718,0,59,0.66,0.0
248,146,718,2,66,0.73,0.15
249,126,718,1,77,0.86,0.08
250,166,718,0,76,0.84,0.0
251,197,718,1,45,0.5,0.08
252,6,718,0,64,0.71,0.0
253,106,718,1,77,0.86,0.08
254,57,718,0,61,0.68,0.0
255,186,718,0,83,0.92,0.0
256,46,718,3,86,0.96,0.23
257,86,718,0,87,0.97,0.0
258,77,718,1,89,0.99,0.08
259,17,718,0,55,0.61,0.0
260,217,718,0,74,0.82,0.0
261,26,718,0,88,0.98,0.0
262,117,718,1,81,0.9,0.08
263,97,718,0,59,0.66,0.0
264,2,319,2,88,0.98,0.18
265,18,319,0,71,0.79,0.0
266,218,319,1,64,0.71,0.09
267,198,319,1,75,0.83,0.09
268,118,319,0,73,0.81,0.0
269,158,319,0,86,0.96,0.0
270,202,319,2,87,0.97,0.18
271,22,319,1,59,0.66,0.09
272,78,319,0,55,0.61,0.0
273,42,319,2,79,0.88,0.18
274,102,319,0,89,0.99,0.0
275,182,319,0,75,0.83,0.0
276,162,319,0,51,0.57,0.0
277,98,319,1,50,0.56,0.09
278,142,319,0,45,0.5,0.0
279,62,319,0,84,0.93,0.0
280,58,319,1,89,0.99,0.09
281,82,319,0,50,0.56,0.0
282,178,319,0,84,0.93,0.0
283,38,319,0,84,0.93,0.0
284,138,319,0,54,0.6,0.0
285,122,319,0,54,0.6,0.0
286,137,1418,3,82,0.91,0.17
287,73,1418,1,46,0.51,0.06
288,217,1418,0,90,1.0,0.0
289,193,1418,1,58,0.64,0.06
290,13,1418,1,86,0.96,0.06
291,57,1418,1,79,0.88,0.06
292,37,1418,0,55,0.61,0.0
293,153,1418,0,54,0.6,0.0
294,77,1418,2,51,0.57,0.11
295,213,1418,3,55,0.61,0.17
296,97,1418,0,63,0.7,0.0
297,117,1418,0,65,0.72,0.0
298,197,1418,0,73,0.81,0.0
299,93,1418,0,76,0.84,0.0
300,173,1418,3,59,0.66,0.17
301,177,1418,1,58,0.64,0.06
302,133,1418,1,88,0.98,0.06
303,113,1418,0,76,0.84,0.0
304,33,1418,0,83,0.92,0.0
305,157,1418,0,75,0.83,0.0
306,53,1418,0,46,0.51,0.0
307,17,1418,1,63,0.7,0.06
308,52,1314,0,65,0.72,0.0
309,92,1314,0,73,0.81,0.0
310,193,1314,1,55,0.61,0.05
311,13,1314,1,46,0.51,0.05
312,33,1314,2,75,0.83,0.1
313,12,1314,0,81,0.9,0.0
314,53,1314,1,75,0.83,0.05
315,173,1314,1,90,1.0,0.05
316,153,1314,2,62,0.69,0.1
317,112,1314,0,90,1.0,0.0
318,133,1314,3,69,0.77,0.15
319,212,1314,2,76,0.84,0.1
320,113,1314,0,81,0.9,0.0
321,132,1314,0,78,0.87,0.0
322,73,1314,0,80,0.89,0.0
323,192,1314,0,78,0.87,0.0
324,152,1314,2,70,0.78,0.1
325,32,1314,0,84,0.93,0.0
326,213,1314,2,83,0.92,0.1
327,93,1314,1,59,0.66,0.05
328,172,1314,1,54,0.6,0.05
329,72,1314,1,71,0.79,0.05
330,201,220,0,78,0.87,0.0
331,119,220,0,73,0.81,0.0
332,19,220,0,70,0.78,0.0
333,59,220,0,69,0.77,0.0
334,161,220,0,65,0.72,0.0
335,81,220,2,66,0.73,0.15
336,41,220,0,53,0.59,0.0
337,1,220,1,67,0.74,0.08
338,21,220,2,70,0.78,0.15
339,181,220,0,59,0.66,0.0
340,179,220,3,69,0.77,0.23
341,141,220,0,88,0.98,0.0
342,101,220,0,55,0.61,0.0
343,79,220,0,87,0.97,0.0
344,61,220,0,85,0.94,0.0
345,39,220,0,60,0.67,0.0
346,219,220,1,46,0.51,0.08
347,159,220,3,60,0.67,0.23
348,99,220,0,81,0.9,0.0
349,139,220,0,73,0.81,0.0
350,199,220,0,83,0.92,0.0
351,121,220,1,86,0.96,0.08
352,45,617,3,80,0.89,0.12
353,136,617,0,85,0.94,0.0
354,5,617,1,65,0.72,0.04
355,65,617,0,49,0.54,0.0
356,116,617,1,46,0.51,0.04
357,56,617,1,69,0.77,0.04
358,196,617,0,48,0.53,0.0
359,105,617,0,87,0.97,0.0
360,25,617,1,90,1.0,0.04
361,185,617,1,48,0.53,0.04
362,36,617,2,80,0.89,0.08
363,165,617,3,66,0.73,0.12
364,176,617,0,69,0.77,0.0
365,156,617,1,60,0.67,0.04
366,145,617,1,69,0.77,0.04
367,96,617,2,81,0.9,0.08
368,216,617,0,70,0.78,0.0
369,76,617,2,70,0.78,0.08
370,85,617,1,46,0.51,0.04
371,205,617,2,88,0.98,0.08
372,16,617,0,77,0.86,0.0
373,125,617,2,73,0.81,0.08
374,219,1920,0,62,0.69,0.0
375,218,1920,0,73,0.81,0.0
376,78,1920,1,72,0.8,0.14
377,159,1920,0,70,0.78,0.0
378,99,1920,0,48,0.53,0.0
379,138,1920,0,56,0.62,0.0
380,118,1920,0,75,0.83,0.0
381,59,1920,1,90,1.0,0.14
382,19,1920,0,53,0.59,0.0
383,199,1920,0,79,0.88,0.0
384,119,1920,2,81,0.9,0.29
385,39,1920,1,60,0.67,0.14
386,38,1920,0,81,0.9,0.0
387,179,1920,0,74,0.82,0.0
388,58,1920,0,53,0.59,0.0
389,158,1920,0,68,0.76,0.0
390,18,1920,0,90,1.0,0.0
391,98,1920,1,48,0.53,0.14
392,178,1920,1,65,0.72,0.14
393,79,1920,0,48,0.53,0.0
394,139,1920,0,70,0.78,0.0
395,198,1920,0,82,0.91,0.0
396,53,1419,3,56,0.62,0.15
397,133,1419,0,86,0.96,0.0
398,78,1419,0,54,0.6,0.0
399,58,1419,0,83,0.92,0.0
400,213,1419,3,87,0.97,0.15
401,13,1419,0,54,0.6,0.0
402,158,1419,1,72,0.8,0.05
403,218,1419,0,81,0.9,0.0
404,178,1419,0,84,0.93,0.0
405,113,1419,1,80,0.89,0.05
406,98,1419,0,57,0.63,0.0
407,198,1419,3,77,0.86,0.15
408,193,1419,0,62,0.69,0.0
409,93,1419,2,64,0.71,0.1
410,138,1419,3,46,0.51,0.15
411,173,1419,0,60,0.67,0.0
412,153,1419,0,52,0.58,0.0
413,33,1419,1,65,0.72,0.05
414,18,1419,0,53,0.59,0.0
415,38,1419,0,58,0.64,0.0
416,73,1419,0,66,0.73,0.0
417,118,1419,3,51,0.57,0.15
418,65,67,0,76,0.84,0.0
419,6,67,2,57,0.63,0.22
420,205,67,0,64,0.71,0.0
421,66,67,0,78,0.87,0.0
422,106,67,0,46,0.51,0.0
423,86,67,0,72,0.8,0.0
424,146,67,1,73,0.81,0.11
425,145,67,0,86,0.96,0.0
426,125,67,0,84,0.93,0.0
427,45,67,0,48,0.53,0.0
428,206,67,3,67,0.74,0.33
429,166,67,1,85,0.94,0.11
430,105,67,0,70,0.78,0.0
431,185,67,0,77,0.86,0.0
432,186,67,1,73,0.81,0.11
433,25,67,0,52,0.58,0.0
434,165,67,0,59,0.66,0.0
435,126,67,0,61,0.68,0.0
436,26,67,0,73,0.81,0.0
437,85,67,1,69,0.77,0.11
438,5,67,0,69,0.77,0.0
439,46,67,0,78,0.87,0.0
440,171,212,1,68,0.76,0.1
441,81,212,0,76,0.84,0.0
442,191,212,0,66,0.73,0.0
443,181,212,0,90,1.0,0.0
444,151,212,0,78,0.87,0.0
445,131,212,2,69,0.77,0.2
446,101,212,0,71,0.79,0.0
447,161,212,0,85,0.94,0.0
448,51,212,0,78,0.87,0.0
449,41,212,1,88,0.98,0.1
450,71,212,1,45,0.5,0.1
451,121,212,0,80,0.89,0.0
452,31,212,0,48,0.53,0.0
453,11,212,0,58,0.64,0.0
454,201,212,0,62,0.69,0.0
455,141,212,0,69,0.77,0.0
456,91,212,2,58,0.64,0.2
457,21,212,1,65,0.72,0.1
458,61,212,0,81,0.9,0.0
459,111,212,2,77,0.86,0.2
460,211,212,0,76,0.84,0.0
461,1,212,0,61,0.68,0.0
462,115,616,0,79,0.88,0.0
463,205,616,1,87,0.97,0.05
464,5,616,1,66,0.73,0.05
465,25,616,0,67,0.74,0.0
466,45,616,0,87,0.97,0.0
467,135,616,0,62,0.69,0.0
468,95,616,1,73,0.81,0.05
469,85,616,2,63,0.7,0.1
470,195,616,2,77,0.86,0.1
471,185,616,0,90,1.0,0.0
472,215,616,0,72,0.8,0.0
473,105,616,2,49,0.54,0.1
474,75,616,0,57,0.63,0.0
475,125,616,1,47,0.52,0.05
476,155,616,1,46,0.51,0.05
477,175,616,3,46,0.51,0.15
478,35,616,1,80,0.89,0.05
479,15,616,2,58,0.64,0.1
480,165,616,0,80,0.89,0.0
481,65,616,3,51,0.57,0.15
482,145,616,0,85,0.94,0.0
483,55,616,0,81,0.9,0.0
484,177,1518,0,59,0.66,0.0
485,137,1518,0,49,0.54,0.0
486,94,1518,1,89,0.99,0.09
487,154,1518,0,75,0.83,0.0
488,14,1518,1,63,0.7,0.09
489,57,1518,2,71,0.79,0.18
490,17,1518,1,83,0.92,0.09
491,77,1518,0,59,0.66,0.0
492,117,1518,0,67,0.74,0.0
493,37,1518,1,72,0.8,0.09
494,97,1518,1,83,0.92,0.09
495,54,1518,0,83,0.92,0.0
496,157,1518,0,50,0.56,0.0
497,114,1518,1,78,0.87,0.09
498,74,1518,0,69,0.77,0.0
499,34,1518,0,68,0.76,0.0
500,194,1518,0,62,0.69,0.0
501,197,1518,2,77,0.86,0.18
502,134,1518,0,76,0.84,0.0
503,174,1518,0,80,0.89,0.0
504,217,1518,1,77,0.86,0.09
505,214,1518,0,69,0.77,0.0
506,154,215,0,70,0.78,0.0
507,14,215,0,90,1.0,0.0
508,41,215,0,54,0.6,0.0
509,21,215,1,89,0.99,0.1
510,54,215,0,70,0.78,0.0
511,81,215,0,63,0.7,0.0
512,1,215,0,51,0.57,0.0
513,194,215,0,82,0.91,0.0
514,134,215,1,58,0.64,0.1
515,141,215,0,68,0.76,0.0
516,114,215,0,71,0.79,0.0
517,94,215,1,53,0.59,0.1
518,61,215,1,87,0.97,0.1
519,121,215,1,72,0.8,0.1
520,174,215,1,87,0.97,0.1
521,101,215,1,75,0.83,0.1
522,214,215,1,83,0.92,0.1
523,181,215,0,67,0.74,0.0
524,74,215,0,83,0.92,0.0
525,34,215,0,55,0.61,0.0
526,161,215,0,77,0.86,0.0
527,201,215,2,65,0.72,0.2
528,120,114,1,72,0.8,0.08
529,60,114,0,56,0.62,0.0
530,93,114,1,84,0.93,0.08
531,53,114,0,67,0.74,0.0
532,153,114,0,53,0.59,0.0
533,213,114,0,54,0.6,0.0
534,33,114,1,61,0.68,0.08
535,113,114,3,87,0.97,0.25
536,13,114,0,57,0.63,0.0
537,0,114,1,69,0.77,0.08
538,160,114,0,81,0.9,0.0
539,200,114,3,90,1.0,0.25
540,140,114,0,82,0.91,0.0
541,80,114,0,49,0.54,0.0
542,133,114,0,47,0.52,0.0
543,193,114,0,84,0.93,0.0
544,40,114,0,79,0.88,0.0
545,73,114,0,66,0.73,0.0
546,173,114,1,86,0.96,0.08
547,100,114,0,54,0.6,0.0
548,180,114,1,80,0.89,0.08
549,20,114,0,54,0.6,0.0
550,64,15,0,71,0.79,0.0
551,164,15,1,57,0.63,0.07
552,120,15,0,65,0.72,0.0
553,0,15,0,61,0.68,0.0
554,204,15,0,48,0.53,0.0
555,200,15,0,76,0.84,0.0
556,80,15,0,65,0.72,0.0
557,104,15,1,46,0.51,0.07
558,100,15,1,57,0.63,0.07
559,20,15,0,56,0.62,0.0
560,4,15,1,70,0.78,0.07
561,60,15,3,66,0.73,0.2
562,180,15,2,88,0.98,0.13
563,84,15,1,59,0.66,0.07
564,184,15,0,79,0.88,0.0
565,24,15,0,90,1.0,0.0
566,40,15,1,67,0.74,0.07
567,124,15,1,50,0.56,0.07
568,144,15,2,52,0.58,0.13
569,160,15,1,52,0.58,0.07
570,44,15,0,74,0.82,0.0
571,140,15,0,50,0.56,0.0
572,172,1013,1,82,0.91,0.12
573,152,1013,1,63,0.7,0.12
574,149,1013,0,84,0.93,0.0
575,132,1013,0,70,0.78,0.0
576,112,1013,0,46,0.51,0.0
577,212,1013,0,48,0.53,0.0
578,169,1013,0,65,0.72,0.0
579,9,1013,0,86,0.96,0.0
580,49,1013,0,65,0.72,0.0
581,109,1013,0,72,0.8,0.0
582,189,1013,1,64,0.71,0.12
583,129,1013,0,68,0.76,0.0
584,32,1013,0,66,0.73,0.0
585,69,1013,0,62,0.69,0.0
586,12,1013,0,88,0.98,0.0
587,92,1013,0,88,0.98,0.0
588,29,1013,0,88,0.98,0.0
589,72,1013,2,52,0.58,0.25
590,192,1013,0,64,0.71,0.0
591,52,1013,2,56,0.62,0.25
592,89,1013,0,80,0.89,0.0
593,209,1013,1,52,0.58,0.12
594,164,517,1,56,0.62,0.08
595,36,517,0,57,0.63,0.0
596,144,517,1,57,0.63,0.08
597,104,517,2,63,0.7,0.15
598,156,517,1,59,0.66,0.08
599,116,517,0,48,0.53,0.0
600,56,517,0,76,0.84,0.0
601,196,517,0,86,0.96,0.0
602,136,517,0,65,0.72,0.0
603,204,517,3,65,0.72,0.23
604,176,517,1,47,0.52,0.08
605,24,517,1,75,0.83,0.08
606,64,517,1,63,0.7,0.08
607,4,517,0,55,0.61,0.0
608,76,517,0,53,0.59,0.0
609,216,517,1,67,0.74,0.08
610,44,517,0,52,0.58,0.0
611,124,517,1,68,0.76,0.08
612,16,517,0,76,0.84,0.0
613,96,517,0,82,0.91,0.0
614,84,517,0,82,0.91,0.0
615,184,517,0,51,0.57,0.0
616,167,58,0,53,0.59,0.0
617,104,58,0,66,0.73,0.0
618,7,58,0,85,0.94,0.0
619,184,58,1,68,0.76,0.07
620,187,58,1,68,0.76,0.07
621,24,58,0,58,0.64,0.0
622,67,58,1,68,0.76,0.07
623,144,58,0,70,0.78,0.0
624,107,58,0,86,0.96,0.0
625,127,58,1,85,0.94,0.07
626,207,58,0,90,1.0,0.0
627,204,58,1,82,0.91,0.07
628,4,58,0,81,0.9,0.0
629,27,58,1,58,0.64,0.07
630,44,58,1,58,0.64,0.07
631,84,58,1,58,0.64,0.07
632,47,58,0,54,0.6,0.0
633,64,58,0,75,0.83,0.0
634,87,58,0,80,0.89,0.0
635,147,58,2,71,0.79,0.14
636,164,58,1,77,0.86,0.07
637,124,58,3,61,0.68,0.21
638,195,716,0,68,0.76,0.0
639,6,716,1,68,0.76,0.07
640,35,716,0,54,0.6,0.0
641,146,716,0,63,0.7,0.0
642,106,716,0,66,0.73,0.0
643,26,716,1,73,0.81,0.07
644,115,716,0,84,0.93,0.0
645,126,716,1,52,0.58,0.07
646,95,716,3,67,0.74,0.21
647,75,716,3,55,0.61,0.21
648,86,716,0,49,0.54,0.0
649,215,716,0,72,0.8,0.0
650,15,716,0,51,0.57,0.0
651,46,716,1,49,0.54,0.07
652,135,716,3,63,0.7,0.21
653,166,716,0,66,0.73,0.0
654,55,716,0,90,1.0,0.0
655,186,716,0,81,0.9,0.0
656,175,716,0,77,0.86,0.0
657,155,716,0,75,0.83,0.0
658,66,716,1,79,0.88,0.07
659,206,716,0,84,0.93,0.0
660,120,13,0,78,0.87,0.0
661,80,13,0,63,0.7,0.0
662,22,13,0,55,0.61,0.0
663,62,13,0,49,0.54,0.0
664,40,13,1,58,0.64,0.07
665,200,13,1,45,0.5,0.07
666,42,13,0,52,0.58,0.0
667,100,13,0,86,0.96,0.0
668,142,13,2,89,0.99,0.13
669,102,13,2,75,0.83,0.13
670,162,13,0,85,0.94,0.0
671,160,13,0,59,0.66,0.0
672,20,13,1,47,0.52,0.07
673,182,13,0,54,0.6,0.0
674,60,13,1,75,0.83,0.07
675,0,13,1,86,0.96,0.07
676,180,13,3,88,0.98,0.2
677,122,13,0,86,0.96,0.0
678,202,13,0,79,0.88,0.0
679,2,13,2,83,0.92,0.13
680,140,13,1,76,0.84,0.07
681,82,13,0,80,0.89,0.0
682,36,1718,0,53,0.59,0.0
683,97,1718,1,48,0.53,0.07
684,197,1718,1,80,0.89,0.07
685,136,1718,0,57,0.63,0.0
686,217,1718,0,55,0.61,0.0
687,117,1718,3,90,1.0,0.2
688,137,1718,1,61,0.68,0.07
689,96,1718,3,69,0.77,0.2
690,216,1718,0,55,0.61,0.0
691,156,1718,0,88,0.98,0.0
692,157,1718,1,70,0.78,0.07
693,177,1718,1,45,0.5,0.07
694,56,1718,1,63,0.7,0.07
695,76,1718,0,53,0.59,0.0
696,196,1718,1,47,0.52,0.07
697,57,1718,1,89,0.99,0.07
698,176,1718,0,54,0.6,0.0
699,17,1718,0,78,0.87,0.0
700,37,1718,0,81,0.9,0.0
701,116,1718,0,73,0.81,0.0
702,77,1718,1,50,0.56,0.07
703,16,1718,0,79,0.88,0.0
704,167,810,0,71,0.79,0.0
705,209,810,3,51,0.57,0.23
706,87,810,2,60,0.67,0.15
707,69,810,0,77,0.86,0.0
708,189,810,2,60,0.67,0.15
709,109,810,1,47,0.52,0.08
710,187,810,1,83,0.92,0.08
711,49,810,0,78,0.87,0.0
712,27,810,0,57,0.63,0.0
713,169,810,0,46,0.51,0.0
714,107,810,0,63,0.7,0.0
715,149,810,0,51,0.57,0.0
716,67,810,0,54,0.6,0.0
717,147,810,0,45,0.5,0.0
718,127,810,0,69,0.77,0.0
719,47,810,0,86,0.96,0.0
720,7,810,0,82,0.91,0.0
721,89,810,0,58,0.64,0.0
722,207,810,2,75,0.83,0.15
723,9,810,0,68,0.76,0.0
724,129,810,1,67,0.74,0.08
725,29,810,1,67,0.74,0.08
726,14,1115,0,76,0.84,0.0
727,10,1115,2,50,0.56,0.2
728,210,1115,1,76,0.84,0.1
729,114,1115,1,52,0.58,0.1
730,94,1115,0,74,0.82,0.0
731,134,1115,0,69,0.77,0.0
732,130,1115,0,85,0.94,0.0
733,174,1115,1,71,0.79,0.1
734,190,1115,0,64,0.71,0.0
735,154,1115,0,68,0.76,0.0
736,150,1115,1,74,0.82,0.1
737,54,1115,1,67,0.74,0.1
738,214,1115,0,65,0.72,0.0
739,50,1115,0,74,0.82,0.0
740,30,1115,2,45,0.5,0.2
741,90,1115,0,89,0.99,0.0
742,74,1115,0,86,0.96,0.0
743,194,1115,0,87,0.97,0.0
744,110,1115,1,51,0.57,0.1
745,34,1115,0,58,0.64,0.0
746,170,1115,0,87,0.97,0.0
747,70,1115,0,80,0.89,0.0
748,205,46,0,63,0.7,0.0
749,163,46,0,90,1.0,0.0
750,85,46,1,57,0.63,0.17
751,3,46,0,82,0.91,0.0
752,83,46,0,76,0.84,0.0
753,43,46,0,56,0.62,0.0
754,45,46,0,55,0.61,0.0
755,25,46,0,86,0.96,0.0
756,105,46,0,58,0.64,0.0
757,63,46,1,61,0.68,0.17
